filename,creator,source_url,license,license_url,modifications,title,retrieval_date,sha256,training_status
55187559470_0338037927_o.jpg,Samuel and Audrey Media Network,https://www.flickr.com/photos/samuelandaudreymedianetwork/55187559470/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,none to source file; training preprocessing may resize and/or crop,"Breakfast Spread with Spreading Knife in El Chaltén, Santa Cruz, Argentine Patagonia Province",2026-09-20,e7e428a3ebc1006b658eafab7d6e9a004195f075846b1077308b211a19c1bbb6,approved-noncommercial-attribution-required
55222116982_05ba219534_o.jpg,Iker Merodio,https://www.flickr.com/photos/ikermerodio/55222116982/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,none to source file; training preprocessing may resize and/or crop,Naï Naï Restaurant in Bordeaux,2026-09-18,3d8df07f2046884b50cff41d69e6e73d85dabdfcdb611c4638e818ae2991e6b6,approved-attribution-required
5598524642_f14fdeb80b_o.jpg,Anubhav Sethi,https://www.flickr.com/photos/anubhavsethi/5598524642/,CC BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/,none to source file; training preprocessing may resize and/or crop,Summer Air,2026-09-18,d372cf351445b8d9e4fd1eaa7ebc21d1a6ad53a16c0b6a516eecca4e13318bf2,approved-noncommercial-attribution-required
6262027700_11886d49c2_o.jpg,Mark Kenny,https://www.flickr.com/photos/markkenny/6262027700/,CC BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/,none to source file; training preprocessing may resize and/or crop,Red Velvet and White Chocolate Cake,2026-09-18,e55acc82ec06e5c56ce92047eb090eb1e574868b8c1d5cb5bf47bd1625977511,approved-noncommercial-sharealike
6598764327_e9a861da60_o.jpg,Emily,https://www.flickr.com/photos/ebarney/6598764327/,CC BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/,none to source file; training preprocessing may resize and/or crop,Egg Yolks,2026-09-18,b0e970671c425e2a736a4cae9786146e2c4666ede21c5334c55a732f67922fb7,approved-noncommercial-attribution-required
6797333313_0122b75d31_o.jpg,Larry Hoffman,https://www.flickr.com/photos/dinesarasota/6797333313/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,Bruchetta Pomodoro and Agnolotti,2026-09-20,bf5ed8b90ced0e8bd6187208f60eed08b8a1d9ecfd633eb20bd8b7e1072e0b5d,approved-attribution-required
7539155852_9b477f161d_o.jpg,ChrisGoldNY,https://www.flickr.com/photos/chrisgold/7539155852/,CC BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/,none to source file; training preprocessing may resize and/or crop,Passionfruit Smoothie at Tropical 2 - Sunnyside Queens,2026-09-20,b0c62069906a83c5d5afafbce1a4dd8805009b9f171d583396d0225c4282942a,approved-noncommercial-attribution-required
861660764_ba70757e7f_o.jpg,Jonathan Lundqvist,https://www.flickr.com/photos/jturn/861660764/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,At the dinner table,2026-09-20,11fa29be3914f9a0206c1c02b37581a585cd6bdda5131c8ad7598fffb487759a,approved-attribution-required
8648053726_28b9fa0649_o.jpg,Ippei Suzuki,https://www.flickr.com/photos/is_kyoto_jp/8648053726/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,Chocolate Cake,2026-09-18,46160cfce2476fc93aa8f576c543e0d0836fc9435e8618616de0d55578197600,approved-attribution-required
9884293004_ffbb0488d4_o.jpg,Migle,https://www.flickr.com/photos/69668444@N03/9884293004/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,none to source file; distributed adaptations must retain the same license,Cascara Tea,2026-09-18,a7ed4a7f8008ad0589de7ba096be391db1efe52b761374217e6f9e00f5748987,conditional-sharealike
food-1494235611kDr.jpg,CC0 Community,https://www.publicdomainpictures.net/en/view-image.php?image=212698&picture=dessert-cake,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,none to source file; training preprocessing may resize and/or crop,Dessert Cake,2026-09-20,3ae8e32da420c503cffce657497795ad237277e2768f657a8548ca9d53eb3fcd,approved-no-attribution-required
KT's Wedding 13-0178.jpg,Owner-provided (creator not recorded),,Owner-provided; authorized for this project,,none to source file; training preprocessing may resize and/or crop,KT's Wedding 13-0178,2026-09-20,f31d777f411125f3775f13a57037a3719919fcdde5b30f95a1580de551a5bb50,approved-owner-authorized
